IF object_id('tempdb.dbo.#t') is not null
	drop table #t
create table #t (userPrincipalName varchar(100));
insert into #t values ('ADAM.T.NISSON.CIV')
insert into #t values ('adan.parra1.mil')
insert into #t values ('ADRIAN.PW.FYFE.FM')
insert into #t values ('adrian.v.smith.mil')
insert into #t values ('ADRIAN.VELEZ.MIL')
insert into #t values ('ALDO.D.ABITBOL.CIV')
insert into #t values ('ALDO.J.CASTRO-SANTOS.CIV')
insert into #t values ('alex.g.ornstein2.civ')
insert into #t values ('alexandra.t.cromie.mil')
insert into #t values ('amaury.b.ochart.civ')
insert into #t values ('Ambrose.c.rosario.civ')
insert into #t values ('ammar.m.masoud.mil')
insert into #t values ('analyn.r.rodriguez.civ')
insert into #t values ('andrea.l.gwynn.civ')
insert into #t values ('ANGELA.N.NICHOLS4.CIV')
insert into #t values ('anita.a.howard4.civ')
insert into #t values ('anna.magazinnik.civ')
insert into #t values ('ANTHONY.E.HUGHLEY.MIL')
insert into #t values ('arjun.kurup.civ')
insert into #t values ('Arturo.cornejo.civ')
insert into #t values ('aubrey.s.lavitoria.civ')
insert into #t values ('augusta.z.hemann.civ')
insert into #t values ('AUSTIN.A.BOONE.MIL')
insert into #t values ('barbara.j.calhoun2.civ')
insert into #t values ('BILLIE.L.STOKES.CIV')
insert into #t values ('billy.r.michael4.civ')
insert into #t values ('blake.m.macon.civ')
insert into #t values ('blas.c.rueda-caraballo.civ')
insert into #t values ('brent.o.skinner.mil')
insert into #t values ('brian.a.sessler.civ')
insert into #t values ('BRIANNE.L.EWING.MIL')
insert into #t values ('bryan.p.jonas.mil ')
insert into #t values ('bryant.c.lambert.civ')
insert into #t values ('cali.d.garcia.civ')
insert into #t values ('CANDACE.E.AKINS.CIV')
insert into #t values ('carl.e.tucker.civ')
insert into #t values ('CARL.W.HALE4.CIV')
insert into #t values ('carolina.cruz.mil')
insert into #t values ('CATHERINE.G.ROBERTSON.MIL')
insert into #t values ('celeste.j.kennamer.civ')
insert into #t values ('Charles.w.broughton.civ')
insert into #t values ('charlotte.m.cordero.civ')
insert into #t values ('christine.a.carruthers.civ')
insert into #t values ('christine.d.dash.civ')
insert into #t values ('CHRISTOPHER.A.LINZ.CIV')
insert into #t values ('christopher.c.brewton.civ')
insert into #t values ('christopher.d.lovelace4.civ')
insert into #t values ('christopher.s.harvey3.mil')
insert into #t values ('christopher.j.lowrance.mil')
insert into #t values ('christopher.j.zimmer2.mil')
insert into #t values ('christopher.m.cummings3.civ')
insert into #t values ('Christopher.m.ford6.mil')
insert into #t values ('christopher.s.cropper.ctr')
